name,bio,year_of_birth,date_of_birth,wiki_link,more
Albert Einstein,Physicist known for the theory of relativity,1879,1879-03-14,https://en.wikipedia.org/wiki/Albert_Einstein,Nobel Prize in Physics
Frida Kahlo,Mexican painter known for her self-portraits,1907,1907-07-06,https://en.wikipedia.org/wiki/Frida_Kahlo,Famous for surreal and vibrant self-portraits
Bertrand Russell,British philosopher and logician,1872,1872-05-18,https://en.wikipedia.org/wiki/Bertrand_Russell,Nobel Prize in Literature
Sandro Botticelli,Italian painter of the Early Renaissance,1445,1445-03-01,https://en.wikipedia.org/wiki/Sandro_Botticelli,Famous for 'The Birth of Venus'
Oscar Wilde,Irish poet and playwright,1854,1854-10-16,https://en.wikipedia.org/wiki/Oscar_Wilde,Famous for 'The Picture of Dorian Gray'
Thomas Wolfe,American novelist,1900,1900-10-03,https://en.wikipedia.org/wiki/Thomas_Wolfe,Author of 'Look Homeward and 'Angel'
Boris Grebenshchikov,Russian rock musician and songwriter,1953,1953-11-27,https://en.wikipedia.org/wiki/Boris_Grebenshchikov,Founder of the band Aquarium
Pyotr Ilyich Tchaikovsky,Russian composer of the Romantic period,1840,1840-05-07,https://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky,Composed famous ballets like 'Swan Lake' and 'The Nutcracker'
Zhanna Aguzarova,Russian pop-rock singer and former vocalist of the band Bravo,1962,1962-07-07,https://en.wikipedia.org/wiki/Zhanna_Aguzarova,A major figure in the Soviet rock scene
Cleopatra,Last active ruler of the Ptolemaic Kingdom of Egypt,69-BC,69-BC,https://en.wikipedia.org/wiki/Cleopatra,Renowned for her intelligence and political acumen
Plato,Classical Greek philosopher and founder of the Academy,428-BC,428-BC,https://en.wikipedia.org/wiki/Plato,Student of Socrates and teacher of Aristotle
Socrates,Classical Greek philosopher known for his contributions to ethics,470-BC,470-BC,https://en.wikipedia.org/wiki/Socrates,Founder of Western philosophy
Amy Winehouse,British singer-songwriter known for her deep and expressive vocals',1983,1983-09-14,https://en.wikipedia.org/wiki/Amy_Winehouse,Known for 'Back to Black'
Diana Arbenina,Russian rock singer leader of the band Night Snipers,1974,1974-07-08,https://en.wikipedia.org/wiki/Diana_Arbenina,Prominent figure in Russian rock music
Renata Litvinova,Russian actress director and screenwriter,1967,1967-01-12,https://en.wikipedia.org/wiki/Renata_Litvinova,Known for her eccentric acting style and films
Laurie Anderson,American avant-garde artist and experimental musician,1947,1947-06-05,https://en.wikipedia.org/wiki/Laurie_Anderson,Known for 'O Superman'
Jean Iris Murdoch,British novelist and philosopher,1919,1919-07-15,https://en.wikipedia.org/wiki/Iris_Murdoch,Famous for her philosophical novels
Takeo Suzuki,Japanese artist and painter,Unknown,Unknown,https://en.wikipedia.org/wiki/Takeo_Suzuki_(artist),Famous for blending Japanese traditional and modern styles
Quentin Tarantino,American filmmaker and screenwriter,1963,1963-03-27,https://en.wikipedia.org/wiki/Quentin_Tarantino,Known for 'Pulp Fiction' and 'Kill Bill'
Uma Thurman,American actress and model,1970,1970-04-29,https://en.wikipedia.org/wiki/Uma_Thurman,Known for her roles in 'Pulp Fiction' and 'Kill Bill'
Grace Jones,Jamaican singer and model,1948,1948-05-19,https://en.wikipedia.org/wiki/Grace_Jones,Known for her androgynous image and 'Slave to the Rhythm'
Nikola Tesla,,,,,
Mark Twain,,,,,
Yorgos Lanthimos,,,,,
